Melanocytic,Transitory-Melanocytic,Transitory,Neural crest-like-Transitory,Neural crest-like,Undifferentiated-Neural crest-like,Undifferentiated
,SLC5A4,,,,VIT,TMEM200A
,SOX6,,,,,TMEM40
,ST3GAL6,,,,,TNFAIP2
,ST8SIA1,,,,,TNFSF18
,STK32A,,,,,TOR4A
,STXBP6,,,,,TOX
,TBC1D16,,,,,TRERF1
,TBC1D7,,,,,UCP2
,TMC6,,,,,VASN
,TMCC2,,,,,ZDHHC2
,TTYH2,,,,,ZIC2
,TUBB4A,,,,,ZNF185
,TYR,,,,,ZNF467
,TYRP1,,,,,
,UBAP1L,,,,,
,UGT2B7,,,,,
,VAT1,,,,,
,VGF,,,,,
,WFDC1,,,,,
,ZNF704,,,,,
